Tow,Stow,Sstow,Unit,TypeOfCode,Zzz
TOW-01,STOW-01,SSTOW-01,m3,AAA01002026,60100101
TOW-01,STOW-01,SSTOW-02,m3,AAA0101012026,60114604
TOW-01,STOW-01,SSTOW-03,m3,AAA0101022026,60114403
TOW-01,STOW-01,SSTOW-04,m3,AAA0101032026,60114404
TOW-01,STOW-01,SSTOW-05,m3,AAA0101042026,60114405
TOW-01,STOW-01,SSTOW-06,m3,AAA0101052026,60114706
TOW-01,STOW-01,SSTOW-07,m3,AAA0101062026,60114705
TOW-01,STOW-01,SSTOW-08,m3,AAA0101072026,60114707
TOW-01,STOW-01,SSTOW-09,m3,AAA0101082026,
TOW-01,STOW-01,SSTOW-10,m3,AAA0101092026,60114503
TOW-01,STOW-01,SSTOW-11,m3,AAA0101102026,60114504
TOW-01,STOW-01,SSTOW-12,m3,AAA0101132026,060114503K
TOW-01,STOW-01,SSTOW-13,m3,AAA0101142026,060114504K
TOW-01,STOW-01,SSTOW-14,m3,AAA010109012026,60114505
TOW-01,STOW-01,SSTOW-15,m3,AAA010110012026,60114506
TOW-01,STOW-01,SSTOW-16,m3,AAA010113012026,060114505K
TOW-01,STOW-01,SSTOW-17,m3,AAA010114012026,060114506K
TOW-01,STOW-01,SSTOW-18,m3,AAA0101112026,110101101
TOW-01,STOW-01,SSTOW-19,m3,AAA0101122026,
TOW-01,STOW-01,SSTOW-20,m3,AAA0101152026,
TOW-01,STOW-01,SSTOW-21,m3,AAA0101162026,
TOW-01,STOW-01,SSTOW-22,m3,AAA0101172026,110100209
TOW-01,STOW-02,SSTOW-23,m3,AAA0101992026,
TOW-01,STOW-03,SSTOW-24,m3,AAA01022026,350147301
TOW-01,STOW-03,SSTOW-25,m3,AAA0102012026,420100802
TOW-01,STOW-03,SSTOW-26,m3,AAA0102022026,
TOW-01,STOW-04,SSTOW-27,m2,AAA0104012026,
TOW-01,STOW-04,SSTOW-28,m2,AAA0104022026,130600301
TOW-01,STOW-04,SSTOW-29,m2,AAA0104032026,
TOW-01,STOW-05,SSTOW-30,m,AAA01162026,
TOW-01,STOW-06,SSTOW-31,m3,AAA01172026,
TOW-01,STOW-07,SSTOW-32,pcs,AAA01192026,
TOW-01,STOW-08,SSTOW-33,pcs,AAA01182026,
TOW-01,STOW-09,SSTOW-34,m2,AAA01042026,
TOW-01,STOW-10,SSTOW-35,m2,AAA01052026,
TOW-01,STOW-11,SSTOW-36,m3,AAA01062026,
TOW-01,STOW-12,SSTOW-37,m2,AAA0107012026,
TOW-01,STOW-12,SSTOW-38,m2,AAA0107022026,
TOW-01,STOW-12,SSTOW-39,m2,AAA0107032026,
TOW-01,STOW-12,SSTOW-40,m2,AAA0107042026,
TOW-01,STOW-12,SSTOW-41,m2,AAA0107052026,
TOW-01,STOW-12,SSTOW-42,m2,AAA0107062026,
TOW-01,STOW-12,SSTOW-43,m2,AAA0107072026,
TOW-01,STOW-13,SSTOW-44,m2,AAA0108012026,
TOW-01,STOW-13,SSTOW-45,m2,AAA0108022026,
TOW-01,STOW-13,SSTOW-46,m2,AAA0108032026,
TOW-01,STOW-13,SSTOW-47,m2,AAA0108042026,
TOW-01,STOW-13,SSTOW-48,m2,AAA0108052026,
TOW-01,STOW-13,SSTOW-49,m2,AAA0108062026,
TOW-01,STOW-13,SSTOW-50,m2,AAA0108072026,
TOW-01,STOW-14,SSTOW-51,m2,AAA0109012026,
TOW-01,STOW-15,SSTOW-52,m2,AAA0109022026,
TOW-01,STOW-16,SSTOW-53,m3,AAA01102026,
TOW-01,STOW-17,SSTOW-54,m2,AAA01112026,
TOW-01,STOW-17,SSTOW-55,m2,AAA0111012026,
TOW-01,STOW-17,SSTOW-56,m2,AAA0111022026,
TOW-01,STOW-17,SSTOW-57,m2,AAA0111032026,
TOW-01,STOW-17,SSTOW-58,m2,AAA0111042026,
TOW-01,STOW-17,SSTOW-59,m2,AAA0111052026,
TOW-01,STOW-17,SSTOW-60,m2,AAA0111122026,
TOW-01,STOW-17,SSTOW-61,m2,AAA0111062026,
TOW-01,STOW-17,SSTOW-62,m2,AAA0111072026,
TOW-01,STOW-17,SSTOW-63,m2,AAA0111082026,
TOW-01,STOW-17,SSTOW-64,m2,AAA0111092026,
TOW-01,STOW-17,SSTOW-65,m2,AAA0111102026,
TOW-01,STOW-17,SSTOW-66,m2,AAA0111112026,
TOW-01,STOW-17,SSTOW-67,m2,AAA0111132026,
TOW-01,STOW-18,SSTOW-68,pcs,AAA01122026,
TOW-01,STOW-19,SSTOW-69,m3,AAA01132026,440206504
TOW-01,STOW-19,SSTOW-70,m3,AAA0113012026,
TOW-01,STOW-20,SSTOW-71,pcs,AAA01202026,
TOW-01,STOW-21,SSTOW-72,m3,AAA01212026,
TOW-01,STOW-22,SSTOW-73,m3,AAA01222026,370400108
TOW-02,STOW-23,SSTOW-74,t,AAA0201012026,60114602
TOW-02,STOW-23,SSTOW-75,t,AAA0201022026,60114502
TOW-02,STOW-23,SSTOW-76,t,AAA0201032026,
TOW-02,STOW-23,SSTOW-77,t,AAA0201042026,60114402
TOW-02,STOW-23,SSTOW-78,t,AAA0201052026,60114701
TOW-02,STOW-24,SSTOW-79,t,AAA0201062026,
TOW-02,STOW-23,SSTOW-80,t,AAA0201102026,
TOW-02,STOW-23,SSTOW-81,t,AAA0201112026,
TOW-02,STOW-23,SSTOW-82,t,AAA0201122026,
TOW-02,STOW-25,SSTOW-83,t,AAA02042026,
TOW-02,STOW-26,SSTOW-84,t,AAA0201072026,
TOW-02,STOW-27,SSTOW-85,pcs,AAA0205012026,
TOW-02,STOW-28,SSTOW-86,pcs,AAA0205022026,
TOW-02,STOW-29,SSTOW-87,pcs,AAA02062026,
TOW-02,STOW-30,SSTOW-88,pcs,AAA02112026,
TOW-02,STOW-31,SSTOW-89,pcs,AAA02072026,
TOW-02,STOW-32,SSTOW-90,t,AAA0208012026,370102701
TOW-02,STOW-32,SSTOW-91,t,AAA0208022026,370102702
TOW-02,STOW-32,SSTOW-92,t,AAA0208032026,370102703
